symbol,beijing_time
TON/USDT:USDT,2024-11-22 11:18:39
AIDOGE/USDT:USDT,2024-11-22 11:18:39
AXS/USDT:USDT,2024-11-22 11:18:39
BAND/USDT:USDT,2024-11-22 11:18:39
BAT/USDT:USDT,2024-11-22 11:18:39
BNB/USDT:USDT,2024-11-22 11:18:39
BOME/USDT:USDT,2024-11-22 11:18:39
CELO/USDT:USDT,2024-11-22 11:18:39
CHZ/USDT:USDT,2024-11-22 11:18:39
CORE/USDT:USDT,2024-11-22 11:18:39
FLOKI/USDT:USDT,2024-11-22 11:18:39
FXS/USDT:USDT,2024-11-22 11:18:39
GAS/USDT:USDT,2024-11-22 11:18:39
IOST/USDT:USDT,2024-11-22 11:18:39
KNC/USDT:USDT,2024-11-22 11:18:39
MINA/USDT:USDT,2024-11-22 11:18:39
NEO/USDT:USDT,2024-11-22 11:18:39
