symbol,beijing_time
BTC/USDT:USDT,2025-06-02 14:51:17
AI16Z/USDT:USDT,2025-06-02 14:51:17
AIXBT/USDT:USDT,2025-06-02 14:51:17
APE/USDT:USDT,2025-06-02 14:51:17
API3/USDT:USDT,2025-06-02 14:51:17
APT/USDT:USDT,2025-06-02 14:51:17
ARC/USDT:USDT,2025-06-02 14:51:17
BIGTIME/USDT:USDT,2025-06-02 14:51:17
BNB/USDT:USDT,2025-06-02 14:51:17
CORE/USDT:USDT,2025-06-02 14:51:17
DOOD/USDT:USDT,2025-06-02 14:51:17
DYDX/USDT:USDT,2025-06-02 14:51:17
GMT/USDT:USDT,2025-06-02 14:51:17
IOST/USDT:USDT,2025-06-02 14:51:17
LTC/USDT:USDT,2025-06-02 14:51:17
